# Generated by QuTiP: 15001x5 complex matrix in decimal format [',' separated values].
-0.4972666667+0.0000000000j,0.8319026552+0.0000000000j,0.0003575775+0.0000000000j,0.0007548151+0.0000000000j,0.0007549154+0.0000000000j
-0.4972000000+0.0000000000j,0.8318833243+0.0000000000j,0.0003662925+0.0000000000j,0.0007565721+0.0000000000j,0.0007566727+0.0000000000j
-0.4971333333+0.0000000000j,0.8318639941+0.0000000000j,0.0003750072+0.0000000000j,0.0007583328+0.0000000000j,0.0007584338+0.0000000000j
-0.4970666667+0.0000000000j,0.8318446647+0.0000000000j,0.0003837216+0.0000000000j,0.0007600974+0.0000000000j,0.0007601987+0.0000000000j
-0.4970000000+0.0000000000j,0.8318253360+0.0000000000j,0.0003924357+0.0000000000j,0.0007618657+0.0000000000j,0.0007619674+0.0000000000j
-0.4969333333+0.0000000000j,0.8318060081+0.0000000000j,0.0004011495+0.0000000000j,0.0007636379+0.0000000000j,0.0007637400+0.0000000000j
-0.4968666667+0.0000000000j,0.8317866808+0.0000000000j,0.0004098630+0.0000000000j,0.0007654139+0.0000000000j,0.0007655163+0.0000000000j
-0.4968000000+0.0000000000j,0.8317673543+0.0000000000j,0.0004185762+0.0000000000j,0.0007671937+0.0000000000j,0.0007672965+0.0000000000j
-0.4967333333+0.0000000000j,0.8317480285+0.0000000000j,0.0004272891+0.0000000000j,0.0007689774+0.0000000000j,0.0007690805+0.0000000000j
-0.4966666667+0.0000000000j,0.8317287034+0.0000000000j,0.0004360017+0.0000000000j,0.0007707649+0.0000000000j,0.0007708684+0.0000000000j
-0.4966000000+0.0000000000j,0.8317093791+0.0000000000j,0.0004447139+0.0000000000j,0.0007725562+0.0000000000j,0.0007726601+0.0000000000j
-0.4965333333+0.0000000000j,0.8316900554+0.0000000000j,0.0004534259+0.0000000000j,0.0007743514+0.0000000000j,0.0007744557+0.0000000000j
-0.4964666667+0.0000000000j,0.8316707325+0.0000000000j,0.0004621376+0.0000000000j,0.0007761505+0.0000000000j,0.0007762551+0.0000000000j
-0.4964000000+0.0000000000j,0.8316514103+0.0000000000j,0.0004708489+0.0000000000j,0.0007779534+0.0000000000j,0.0007780584+0.0000000000j
-0.4963333333+0.0000000000j,0.8316320888+0.0000000000j,0.0004795600+0.0000000000j,0.0007797602+0.0000000000j,0.0007798656+0.0000000000j
-0.4962666667+0.0000000000j,0.8316127681+0.0000000000j,0.0004882708+0.0000000000j,0.0007815709+0.0000000000j,0.0007816767+0.0000000000j
-0.4962000000+0.0000000000j,0.8315934480+0.0000000000j,0.0004969812+0.0000000000j,0.0007833855+0.0000000000j,0.0007834917+0.0000000000j
-0.4961333333+0.0000000000j,0.8315741287+0.0000000000j,0.0005056913+0.0000000000j,0.0007852040+0.0000000000j,0.0007853105+0.0000000000j
-0.4960666667+0.0000000000j,0.8315548102+0.0000000000j,0.0005144012+0.0000000000j,0.0007870264+0.0000000000j,0.0007871333+0.0000000000j
-0.4960000000+0.0000000000j,0.8315354923+0.0000000000j,0.0005231107+0.0000000000j,0.0007888528+0.0000000000j,0.0007889600+0.0000000000j
-0.4959333333+0.0000000000j,0.8315161752+0.0000000000j,0.0005318200+0.0000000000j,0.0007906830+0.0000000000j,0.0007907907+0.0000000000j
-0.4958666667+0.0000000000j,0.8314968588+0.0000000000j,0.0005405289+0.0000000000j,0.0007925172+0.0000000000j,0.0007926253+0.0000000000j
-0.4958000000+0.0000000000j,0.8314775432+0.0000000000j,0.0005492375+0.0000000000j,0.0007943553+0.0000000000j,0.0007944638+0.0000000000j
-0.4957333333+0.0000000000j,0.8314582283+0.0000000000j,0.0005579458+0.0000000000j,0.0007961974+0.0000000000j,0.0007963062+0.0000000000j
-0.4956666667+0.0000000000j,0.8314389141+0.0000000000j,0.0005666539+0.0000000000j,0.0007980434+0.0000000000j,0.0007981527+0.0000000000j
-0.4956000000+0.0000000000j,0.8314196007+0.0000000000j,0.0005753616+0.0000000000j,0.0007998934+0.0000000000j,0.0008000030+0.0000000000j
-0.4955333333+0.0000000000j,0.8314002879+0.0000000000j,0.0005840690+0.0000000000j,0.0008017474+0.0000000000j,0.0008018574+0.0000000000j
-0.4954666667+0.0000000000j,0.8313809760+0.0000000000j,0.0005927761+0.0000000000j,0.0008036054+0.0000000000j,0.0008037157+0.0000000000j
-0.4954000000+0.0000000000j,0.8313616647+0.0000000000j,0.0006014829+0.0000000000j,0.0008054673+0.0000000000j,0.0008055781+0.0000000000j
-0.4953333333+0.0000000000j,0.8313423542+0.0000000000j,0.0006101894+0.0000000000j,0.0008073332+0.0000000000j,0.0008074444+0.0000000000j
-0.4952666667+0.0000000000j,0.8313230444+0.0000000000j,0.0006188956+0.0000000000j,0.0008092032+0.0000000000j,0.0008093147+0.0000000000j
-0.4952000000+0.0000000000j,0.8313037353+0.0000000000j,0.0006276015+0.0000000000j,0.0008110771+0.0000000000j,0.0008111891+0.0000000000j
-0.4951333333+0.0000000000j,0.8312844269+0.0000000000j,0.0006363071+0.0000000000j,0.0008129551+0.0000000000j,0.0008130674+0.0000000000j
-0.4950666667+0.0000000000j,0.8312651193+0.0000000000j,0.0006450123+0.0000000000j,0.0008148371+0.0000000000j,0.0008149498+0.0000000000j
-0.4950000000+0.0000000000j,0.8312458124+0.0000000000j,0.0006537173+0.0000000000j,0.0008167231+0.0000000000j,0.0008168363+0.0000000000j
-0.4949333333+0.0000000000j,0.8312265062+0.0000000000j,0.0006624220+0.0000000000j,0.0008186132+0.0000000000j,0.0008187267+0.0000000000j
-0.4948666667+0.0000000000j,0.8312072007+0.0000000000j,0.0006711264+0.0000000000j,0.0008205073+0.0000000000j,0.0008206213+0.0000000000j
-0.4948000000+0.0000000000j,0.8311878959+0.0000000000j,0.0006798304+0.0000000000j,0.0008224055+0.0000000000j,0.0008225198+0.0000000000j
