# Generated by QuTiP: 15001x5 complex matrix in decimal format [',' separated values].
-1.9890666667+0.0000000000j,0.9999856446+0.0000000000j,0.0000142580+0.0000000000j,0.0007548151+0.0000000000j,0.0007549154+0.0000000000j
-1.9888000000+0.0000000000j,0.9999852946+0.0000000000j,0.0000146050+0.0000000000j,0.0007565721+0.0000000000j,0.0007566727+0.0000000000j
-1.9885333333+0.0000000000j,0.9999849447+0.0000000000j,0.0000149518+0.0000000000j,0.0007583328+0.0000000000j,0.0007584338+0.0000000000j
-1.9882666667+0.0000000000j,0.9999845946+0.0000000000j,0.0000152986+0.0000000000j,0.0007600974+0.0000000000j,0.0007601987+0.0000000000j
-1.9880000000+0.0000000000j,0.9999842444+0.0000000000j,0.0000156454+0.0000000000j,0.0007618657+0.0000000000j,0.0007619674+0.0000000000j
-1.9877333333+0.0000000000j,0.9999838940+0.0000000000j,0.0000159922+0.0000000000j,0.0007636379+0.0000000000j,0.0007637400+0.0000000000j
-1.9874666667+0.0000000000j,0.9999835438+0.0000000000j,0.0000163392+0.0000000000j,0.0007654139+0.0000000000j,0.0007655163+0.0000000000j
-1.9872000000+0.0000000000j,0.9999831938+0.0000000000j,0.0000166863+0.0000000000j,0.0007671937+0.0000000000j,0.0007672965+0.0000000000j
-1.9869333333+0.0000000000j,0.9999828439+0.0000000000j,0.0000170336+0.0000000000j,0.0007689774+0.0000000000j,0.0007690805+0.0000000000j
-1.9866666667+0.0000000000j,0.9999824939+0.0000000000j,0.0000173811+0.0000000000j,0.0007707649+0.0000000000j,0.0007708684+0.0000000000j
-1.9864000000+0.0000000000j,0.9999821437+0.0000000000j,0.0000177288+0.0000000000j,0.0007725562+0.0000000000j,0.0007726601+0.0000000000j
-1.9861333333+0.0000000000j,0.9999817934+0.0000000000j,0.0000180767+0.0000000000j,0.0007743514+0.0000000000j,0.0007744557+0.0000000000j
-1.9858666667+0.0000000000j,0.9999814432+0.0000000000j,0.0000184248+0.0000000000j,0.0007761505+0.0000000000j,0.0007762551+0.0000000000j
-1.9856000000+0.0000000000j,0.9999810931+0.0000000000j,0.0000187731+0.0000000000j,0.0007779534+0.0000000000j,0.0007780584+0.0000000000j
-1.9853333333+0.0000000000j,0.9999807432+0.0000000000j,0.0000191215+0.0000000000j,0.0007797602+0.0000000000j,0.0007798656+0.0000000000j
-1.9850666667+0.0000000000j,0.9999803932+0.0000000000j,0.0000194699+0.0000000000j,0.0007815709+0.0000000000j,0.0007816767+0.0000000000j
-1.9848000000+0.0000000000j,0.9999800430+0.0000000000j,0.0000198184+0.0000000000j,0.0007833855+0.0000000000j,0.0007834917+0.0000000000j
-1.9845333333+0.0000000000j,0.9999796927+0.0000000000j,0.0000201668+0.0000000000j,0.0007852040+0.0000000000j,0.0007853105+0.0000000000j
-1.9842666667+0.0000000000j,0.9999793425+0.0000000000j,0.0000205151+0.0000000000j,0.0007870264+0.0000000000j,0.0007871333+0.0000000000j
-1.9840000000+0.0000000000j,0.9999789924+0.0000000000j,0.0000208634+0.0000000000j,0.0007888528+0.0000000000j,0.0007889600+0.0000000000j
-1.9837333333+0.0000000000j,0.9999786424+0.0000000000j,0.0000212114+0.0000000000j,0.0007906830+0.0000000000j,0.0007907907+0.0000000000j
-1.9834666667+0.0000000000j,0.9999782925+0.0000000000j,0.0000215592+0.0000000000j,0.0007925172+0.0000000000j,0.0007926253+0.0000000000j
-1.9832000000+0.0000000000j,0.9999779424+0.0000000000j,0.0000219069+0.0000000000j,0.0007943553+0.0000000000j,0.0007944638+0.0000000000j
-1.9829333333+0.0000000000j,0.9999775921+0.0000000000j,0.0000222543+0.0000000000j,0.0007961974+0.0000000000j,0.0007963062+0.0000000000j
-1.9826666667+0.0000000000j,0.9999772418+0.0000000000j,0.0000226015+0.0000000000j,0.0007980434+0.0000000000j,0.0007981527+0.0000000000j
-1.9824000000+0.0000000000j,0.9999768917+0.0000000000j,0.0000229485+0.0000000000j,0.0007998934+0.0000000000j,0.0008000030+0.0000000000j
-1.9821333333+0.0000000000j,0.9999765417+0.0000000000j,0.0000232954+0.0000000000j,0.0008017474+0.0000000000j,0.0008018574+0.0000000000j
-1.9818666667+0.0000000000j,0.9999761918+0.0000000000j,0.0000236423+0.0000000000j,0.0008036054+0.0000000000j,0.0008037157+0.0000000000j
-1.9816000000+0.0000000000j,0.9999758417+0.0000000000j,0.0000239890+0.0000000000j,0.0008054673+0.0000000000j,0.0008055781+0.0000000000j
-1.9813333333+0.0000000000j,0.9999754915+0.0000000000j,0.0000243358+0.0000000000j,0.0008073332+0.0000000000j,0.0008074444+0.0000000000j
-1.9810666667+0.0000000000j,0.9999751412+0.0000000000j,0.0000246826+0.0000000000j,0.0008092032+0.0000000000j,0.0008093147+0.0000000000j
-1.9808000000+0.0000000000j,0.9999747910+0.0000000000j,0.0000250296+0.0000000000j,0.0008110771+0.0000000000j,0.0008111891+0.0000000000j
-1.9805333333+0.0000000000j,0.9999744410+0.0000000000j,0.0000253767+0.0000000000j,0.0008129551+0.0000000000j,0.0008130674+0.0000000000j
-1.9802666667+0.0000000000j,0.9999740911+0.0000000000j,0.0000257240+0.0000000000j,0.0008148371+0.0000000000j,0.0008149498+0.0000000000j
-1.9800000000+0.0000000000j,0.9999737411+0.0000000000j,0.0000260715+0.0000000000j,0.0008167231+0.0000000000j,0.0008168363+0.0000000000j
-1.9797333333+0.0000000000j,0.9999733909+0.0000000000j,0.0000264192+0.0000000000j,0.0008186132+0.0000000000j,0.0008187267+0.0000000000j
