# Generated by QuTiP: 15001x5 complex matrix in decimal format [',' separated values].
-1.9890666667+0.0000000000j,0.4948592491+0.0000000000j,0.4907909192+0.0000000000j,0.0007548151+0.0000000000j,0.0007549154+0.0000000000j
-1.9888000000+0.0000000000j,0.4948589103+0.0000000000j,0.4907905871+0.0000000000j,0.0007565721+0.0000000000j,0.0007566727+0.0000000000j
-1.9885333333+0.0000000000j,0.4948585707+0.0000000000j,0.4907902561+0.0000000000j,0.0007583328+0.0000000000j,0.0007584338+0.0000000000j
-1.9882666667+0.0000000000j,0.4948582305+0.0000000000j,0.4907899255+0.0000000000j,0.0007600974+0.0000000000j,0.0007601987+0.0000000000j
-1.9880000000+0.0000000000j,0.4948578907+0.0000000000j,0.4907895944+0.0000000000j,0.0007618657+0.0000000000j,0.0007619674+0.0000000000j
-1.9877333333+0.0000000000j,0.4948575511+0.0000000000j,0.4907892622+0.0000000000j,0.0007636379+0.0000000000j,0.0007637400+0.0000000000j
-1.9874666667+0.0000000000j,0.4948572119+0.0000000000j,0.4907889295+0.0000000000j,0.0007654139+0.0000000000j,0.0007655163+0.0000000000j
-1.9872000000+0.0000000000j,0.4948568732+0.0000000000j,0.4907885972+0.0000000000j,0.0007671937+0.0000000000j,0.0007672965+0.0000000000j
-1.9869333333+0.0000000000j,0.4948565338+0.0000000000j,0.4907882660+0.0000000000j,0.0007689774+0.0000000000j,0.0007690805+0.0000000000j
-1.9866666667+0.0000000000j,0.4948561938+0.0000000000j,0.4907879355+0.0000000000j,0.0007707649+0.0000000000j,0.0007708684+0.0000000000j
-1.9864000000+0.0000000000j,0.4948558539+0.0000000000j,0.4907876047+0.0000000000j,0.0007725562+0.0000000000j,0.0007726601+0.0000000000j
-1.9861333333+0.0000000000j,0.4948555142+0.0000000000j,0.4907872728+0.0000000000j,0.0007743514+0.0000000000j,0.0007744557+0.0000000000j
-1.9858666667+0.0000000000j,0.4948551748+0.0000000000j,0.4907869400+0.0000000000j,0.0007761505+0.0000000000j,0.0007762551+0.0000000000j
-1.9856000000+0.0000000000j,0.4948548361+0.0000000000j,0.4907866076+0.0000000000j,0.0007779534+0.0000000000j,0.0007780584+0.0000000000j
-1.9853333333+0.0000000000j,0.4948544970+0.0000000000j,0.4907862762+0.0000000000j,0.0007797602+0.0000000000j,0.0007798656+0.0000000000j
-1.9850666667+0.0000000000j,0.4948541570+0.0000000000j,0.4907859456+0.0000000000j,0.0007815709+0.0000000000j,0.0007816767+0.0000000000j
